date,lights [kW],mech [kW],CHWSupplyTemp [F],OAT [C],RH [%],Dewpoint,wind_speed,wind_direction,Diffsolar [W/m2],Dirsolar [W/m2],CHWCoolingEnergy [kW]
20170510,1.66,0.35,44.9025,20.6,87,18.3,5.2,190,0,0,77.0753875
20170510,3.44,0.35,44.9175,20.6,87,18.3,3.6,180,0,0,36.75645
20170510,1.22,0.35,45.1725,21.1,84,18.3,4.1,200,0,0,0
20170510,1.15,0.35,44.9425,18.9,100,18.9,2.6,230,0,0,2.8826125
20170510,0.82,0.35,45.08,17.8,100,17.8,3.6,210,0,0,0
20170510,1.92,0.52,44.875,17.8,100,17.8,2.6,190,11,0,15.0553125
20170510,8.78,14.14,44.6325,18.3,100,18.3,3.1,190,61,0,146.377625
20170510,13.32,25.35,44.635,20.6,93,19.4,4.1,210,148,75,21.6750875
20170510,14.8,13.79,44.6,22.8,87,20.6,4.1,220,311,56,134.0755625
20170510,15.51,22.12,44.485,23.3,87,21.1,4.1,240,406,69,271.7866875
20170510,15.57,18.88,44.385,23.3,91,21.7,3.1,240,260,0,306.3689875
20170510,15.12,15.96,44.75,23.9,88,21.7,4.1,230,351,0,371.1496625
20170510,15.1,10.36,45.125,24.4,82,21.1,5.2,220,237,80,390.9604375
20170510,15.31,9.39,43.27,25,77,20.6,4.1,210,295,132,465.4847875
20170510,15.51,11.03,43.5475,22.8,81,19.4,3.1,200,299,0,561.4548
20170510,14.92,11.05,43.3275,24.4,82,21.1,3.6,200,254,51,715.72055
20170510,14.17,14.98,43.3225,25.6,71,20,5.2,170,157,493,791.920625
20170510,12.94,13.61,43.5525,24.4,76,20,3.6,190,108,257,670.8016
20170510,10.22,9.48,43.5375,22.8,84,20,3.6,180,43,39,553.7684
20170510,3.33,2.4,43.405,21.7,90,20,3.1,180,0,0,18.4895
20170510,1.76,0.35,43.335,21.7,90,20,3.6,180,0,0,25.5202875
20170510,1.13,0.35,42.8875,22.2,91,20.6,3.6,190,0,0,35.0327125
20170510,1.14,0.35,42.3775,21.7,87,19.4,4.1,200,0,0,42.10495
20170510,1.42,0.35,42.2325,21.7,87,19.4,5.2,210,0,0,42.9674
20170511,1.14,0.36,42.005,21.1,90,19.4,4.1,220,0,0,30.00535
20170511,2.25,0.35,41.9125,20.6,90,18.9,3.1,200,0,0,43.8999
20170511,1.14,0.36,41.7025,20,76,15.6,3.6,230,0,0,50.700075
20170511,1.14,0.36,41.7525,20,93,18.9,4.6,220,0,0,49.276625
20170511,3.48,0.36,41.75,20,93,18.9,4.1,200,0,0,0.237625
20170511,3.3,0.73,41.3625,19.4,93,18.3,3.6,210,17,26,45.1551875
20170511,9.15,9.91,40.9125,20.6,90,18.9,3.6,210,141,41,314.4791625
20170511,13.16,20.56,40.765,21.7,84,18.9,4.6,240,182,214,278.2884375
20170511,14.7,11.2,41.3175,23.3,76,18.9,5.2,260,116,138,372.1725375
20170511,15.55,12.91,45.2,25,71,19.4,3.1,280,185,669,418.2272375
20170511,16.02,10,43.175,27.2,58,18.3,4.1,260,174,744,470.3536125
20170511,15.7,12.81,43.74,27.8,58,18.9,4.1,220,249,492,496.6647875
20170511,15.05,8.19,44.0625,27.2,56,17.8,3.6,240,305,675,525.8785875
20170511,11.57,8.26,44.0625,27.8,56,18.3,3.6,290,211,661,712.290125
20170511,18.79,8.79,43.4,29.4,55,19.4,4.6,230,243,624,642.043525
20170511,16.34,9.8,43.2125,27.8,53,17.2,4.1,220,241,281,710.3779625
20170511,15.72,11.79,43.17,25.6,64,18.3,2.5,230,177,66,711.8037625
20170511,13.86,14.8,45.775,24.4,74,19.4,3.6,290,86,62,630.426675
20170511,9.68,11.18,43.665,23.9,74,18.9,1.5,110,35,10,547.882375
20170511,6.05,2.3,43.9,21.1,90,19.4,2.1,160,0,0,40.7236375
20170511,2.1,0.34,43.4925,21.1,93,20,0,0,0,0,4.5257625
20170511,1.84,0.36,43.6025,21.1,90,19.4,2.1,320,0,0,39.9955875
20170511,0.58,0.35,43.6175,20,93,18.9,3.1,340,0,0,51.22785
20170511,2.13,0.35,44.6525,20,84,17.2,3.6,10,0,0,62.331625
20170512,1.23,0.35,45.515,18.9,78,15,3.1,360,0,0,36.6776875
20170512,2.02,0.35,45.575,18.3,78,14.4,3.1,360,0,0,38.03325
